BODY NAME,BODY,SERVICE AREA CATEGORISATION,EXPENSE TYPE,EXPENSE CODE,INVOICE DATE,TRANSACTION NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Local Plans,Housing Market Area,345,12/3/2018,77456/7/9,348,North West Leics DC,10610
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Local Plans,Professional Fees-(Excl.Employees),345,21/3/2018,77431,2671.45,North West Leics DC,10610
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,5/3/2018,77110,3000,Penna Plc,21259
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,5/3/2018,77110,3000,Penna Plc,21259
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,5/3/2018,77110,3000,Penna Plc,21259
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,5/3/2018,77110,3000,Penna Plc,21259
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Me and My Learning,Talent Match Employee Costs,630,19/3/2018,75574,931.82,Access All Areas,17534
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Mains Gas,430,5/3/2018,18379,1807.79,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Mains Gas,430,5/3/2018,18379,2072.02,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,5/3/2018,76973,1350,Michael Page International Recruitment Ltd,20327
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,12/3/2018,76973,1350,Michael Page International Recruitment Ltd,20327
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Communities & Neighbourhoods,Wages-Agency Staff,876,19/3/2018,76973,1080,Michael Page International Recruitment Ltd,20327
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,7 King Street,Electricity,320,12/3/2018,18528,471.99,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Cemetery (Special Expenses),Electricity,325,12/3/2018,18528,26.78,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Public Conveniences,Electricity,40,12/3/2018,18528,10.52,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Public Conveniences,Electricity,40,12/3/2018,18528,53.83,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,150.9,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,51.69,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,29.73,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,67.25,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,79.17,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,80.1,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,12.29,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,7.83,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,10.52,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,62.6,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Housing Revenue Account,Electricity,430,12/3/2018,18529,64.35,British Gas,10284
Melton Borough Council,http://statistics.data.gov.uk/doc/local-authority/31UG,Town Area Community Centres,Electricity,101,12/3/2018,18529,62.56,British Gas,10284
